
Circuit: *mat_array_06_11_13_58_58_591.cir


Circuit: *mat_array_06_11_13_58_58_591.cir
Date: Tue Jun 11 13:58:58  2019


Operating point information:

	Node	Voltage
         dc                    -0                    -0                    -0
      acmag                     0                     0                     0
          v                     0                     0                     0
          p                    -0                    -0                    -0

 Isource: Independent current source
     device                    i5                    i2                   i36
         dc                    -0                    -0                    -0
      acmag                     0                     0                     0
          v                     0                     0                     0
          p                    -0                    -0                    -0

 Isource: Independent current source
     device                   i28                   i21                   i15
         dc                    -0                    -0                    -0
      acmag                     0                     0                     0
          v                     0                     0                     0
          p                    -0                    -0                    -0

 Isource: Independent current source
     device                   i10                    i6                    i3
         dc                    -0                    -0                    -0
      acmag                     0                     0                     0
          v                     0                     0                     0
          p                    -0                    -0                    -0

 Isource: Independent current source
     device                    i1
         dc                    -0
      acmag                     0
          v                     0
          p                    -0

 Resistor: Simple linear resistor
     device                   r58                   r57                   r56
      model                     R                     R                     R
 resistance                 1e-09                 1e-09                 1e-09
          i          -0.000154602            0.00147142            0.00144528
          p           2.39017e-17           2.16507e-15           2.08885e-15

 Resistor: Simple linear resistor
     device                   r55                   r54                   r53
      model                     R                     R                     R
 resistance                 1e-09                 1e-09                 1e-09
          i           -0.00152636           -0.00174716           0.000249454
          p           2.32979e-15           3.05256e-15           6.22274e-17

 Resistor: Simple linear resistor
     device                   r52                   r51                 r3144
      model                     R                     R                     R
 resistance                 1e-09                 1e-09                   100
          i           -0.00029968            0.00267619          -0.000154602
          p           8.98083e-17             7.162e-15           2.39017e-06

 Resistor: Simple linear resistor
     device                 r3127                 r3111                  r396
      model                     R                     R                     R
 resistance                   100                   100                   100
          i            0.00147142            0.00144528           -0.00152636
          p           0.000216507           0.000208885           0.000232979

 Resistor: Simple linear resistor
     device                  r382                  r369                  r357
      model                     R                     R                     R
 resistance                   100                   100                   100
          i           -0.00174716           0.000249454           -0.00029968
          p           0.000305256           6.22274e-06           8.98083e-06

 Resistor: Simple linear resistor
     device                  r346                 r3128                 r3112
      model                     R                     R                     R
 resistance                   100                   100                   100
          i            0.00267619            0.00143063            0.00147713
          p             0.0007162            0.00020467            0.00021819

 Resistor: Simple linear resistor
     device                  r397                  r383                  r370
      model                     R                     R                     R
 resistance                   100                   100                   100
          i            0.00350812           0.000604685           -0.00174313
          p            0.00123069           3.65644e-05            0.00030385

 Resistor: Simple linear resistor
     device                  r358                  r347                  r337
      model                     R                     R                     R
 resistance                   100                   100                   100
          i           0.000259832            0.00369133            0.00268409
          p           6.75124e-06            0.00136259           0.000720433

 Resistor: Simple linear resistor
     device                 r3113                  r398                  r384
      model                     R                     R                     R
 resistance                   100                   100                   100
          i            0.00142459            0.00146556            0.00350446
          p           0.000202945           0.000214786            0.00122812

 Resistor: Simple linear resistor
     device                  r371                  r359                  r348
      model                     R                     R                     R
 resistance                   100                   100                   100
          i           0.000598306           -0.00174764           -0.00385797
          p            3.5797e-05           0.000305425             0.0014884

 Resistor: Simple linear resistor
     device                  r338                  r329                  r399
      model                     R                     R                     R
 resistance                   100                   100                   100
          i            0.00367862           -0.00177988            0.00142906
          p            0.00135322           0.000316798           0.000204222

 Resistor: Simple linear resistor
     device                  r385                  r372                  r360
      model                     R                     R                     R
 resistance                   100                   100                   100
          i             0.0014702            0.00350951           0.000610812
          p            0.00021615            0.00123167           3.73091e-05

 Resistor: Simple linear resistor
     device                  r349                  r339                  r330
      model                     R                     R                     R
 resistance                   100                   100                   100
          i            -0.0017366           2.29048e-05            0.00368393
          p           0.000301578           5.24628e-08            0.00135714

 Resistor: Simple linear resistor
     device                  r322                  r386                  r373
      model                     R                     R                     R
 resistance                   100                   100                   100
          i            0.00357816            0.00142443            0.00146584
          p            0.00128032           0.000202901           0.000214868

 Resistor: Simple linear resistor
     device                  r361                  r350                  r340
      model                     R                     R                     R
 resistance                   100                   100                   100
          i            0.00120421           0.000605258           -0.00174359
          p           0.000145011           3.66337e-05           0.000304011

 Resistor: Simple linear resistor
     device                  r331                  r323                  r316
      model                     R                     R                     R
 resistance                   100                   100                   100
          i            1.8374e-05           0.000328077            0.00356533
          p           3.37605e-08           1.07635e-05            0.00127116

 Resistor: Simple linear resistor
     device                  r374                  r362                  r351
      model                     R                     R                     R
 resistance                   100                   100                   100
          i             0.0035447            0.00146835            0.00120751
          p            0.00125649           0.000215605           0.000145809

 Resistor: Simple linear resistor
     device                  r341                  r332                  r324
      model                     R                     R                     R
 resistance                   100                   100                   100
          i             0.0028963           2.80841e-05           2.27693e-05
          p           0.000838856           7.88719e-08            5.1844e-08

 Resistor: Simple linear resistor
     device                  r317                  r311                  r363
      model                     R                     R                     R
 resistance                   100                   100                   100
          i            0.00531799            0.00358351            0.00131487
          p            0.00282811            0.00128415           0.000172889

 Resistor: Simple linear resistor
     device                  r352                  r342                  r333
      model                     R                     R                     R
 resistance                   100                   100                   100
          i            0.00146092            0.00120536            0.00288603
          p           0.000213429            0.00014529           0.000832915

 Resistor: Simple linear resistor
     device                  r325                  r318                  r312
      model                     R                     R                     R
 resistance                   100                   100                   100
          i           2.07313e-05           9.02827e-06            0.00246991
          p           4.29787e-08           8.15096e-09           0.000610044

 Resistor: Simple linear resistor
     device                   r37                  r353                  r343
      model                     R                     R                     R
 resistance                   100                   100                   100
          i           1.42496e-05           2.79584e-06           4.21199e-06
          p           2.03052e-08           7.81669e-10           1.77409e-09

 Resistor: Simple linear resistor
     device                  r334                  r326                  r319
      model                     R                     R                     R
 resistance                   100                   100                   100
          i           2.27979e-06            0.00288354           7.48854e-06
          p           5.19744e-10           0.000831478           5.60782e-09

 Resistor: Simple linear resistor
     device                  r313                   r38                   r34
      model                     R                     R                     R
 resistance                   100                   100                   100
          i           4.74579e-06           2.82191e-06           3.56748e-06
          p           2.25225e-09           7.96319e-10           1.27269e-09

 Resistor: Simple linear resistor
     device                 r2144                 r2127                 r2111
      model                     R                     R                     R
 resistance                   100                   100                   100
          i                     0           -0.00158523           -0.00159094
          p                     0           0.000251296           0.000253109

 Resistor: Simple linear resistor
     device                  r296                  r282                  r269
      model                     R                     R                     R
 resistance                   100                   100                   100
          i           -0.00365377           -0.00578482           -0.00578885
          p            0.00133501            0.00334642            0.00335108

 Resistor: Simple linear resistor
     device                  r257                  r246                 r2128
      model                     R                     R                     R
 resistance                   100                   100                   100
          i           -0.00579923           -0.00979024                     0
          p            0.00336311            0.00958488                     0

 Resistor: Simple linear resistor
     device                 r2112                  r297                  r283
      model                     R                     R                     R
 resistance                   100                   100                   100
          i           6.04296e-06           1.76118e-05           2.12771e-05
          p           3.65174e-09           3.10177e-08           4.52716e-08

 Resistor: Simple linear resistor
     device                  r270                  r258                  r247
      model                     R                     R                     R
 resistance                   100                   100                   100
          i           2.76563e-05           3.21709e-05            0.00414998
          p           7.64872e-08           1.03496e-07            0.00172223

 Resistor: Simple linear resistor
     device                  r237                 r2113                  r298
      model                     R                     R                     R
 resistance                   100                   100                   100
          i            0.00416268                     0          -4.47659e-06
          p            0.00173279                     0           2.00399e-09

 Resistor: Simple linear resistor
     device                  r284                  r271                  r259
      model                     R                     R                     R
 resistance                   100                   100                   100
          i          -9.12498e-06          -1.41787e-05          -2.66845e-05
          p           8.32652e-09           2.01034e-08           7.12065e-08

 Resistor: Simple linear resistor
     device                  r248                  r238                  r229
      model                     R                     R                     R
 resistance                   100                   100                   100
          i           -3.7727e-05           -0.00391861           -0.00392392
          p           1.42333e-07            0.00153555            0.00153972

 Resistor: Simple linear resistor
     device                  r299                  r285                  r272
      model                     R                     R                     R
 resistance                   100                   100                   100
          i                     0           4.62925e-06           8.99613e-06
          p                     0             2.143e-09           8.09304e-09

 Resistor: Simple linear resistor
     device                  r260                  r249                  r239
      model                     R                     R                     R
 resistance                   100                   100                   100
          i             0.0023143            0.00231985            0.00232684
          p           0.000535598           0.000538172            0.00054142

 Resistor: Simple linear resistor
     device                  r230                  r222                  r286
      model                     R                     R                     R
 resistance                   100                   100                   100
          i            0.00233137            0.00568723                     0
          p           0.000543531            0.00323446                     0

 Resistor: Simple linear resistor
     device                  r273                  r261                  r250
      model                     R                     R                     R
 resistance                   100                   100                   100
          i           -0.00212027           -0.00212278           -0.00212609
          p           0.000449555           0.000450621           0.000452025

 Resistor: Simple linear resistor
     device                  r240                  r231                  r223
      model                     R                     R                     R
 resistance                   100                   100                   100
          i           -0.00441713           -0.00618881            -0.0061932
          p            0.00195111            0.00383013            0.00383558

 Resistor: Simple linear resistor
     device                  r216                  r274                  r262
      model                     R                     R                     R
 resistance                   100                   100                   100
          i            -0.0111831                     0            0.00222983
          p             0.0125062                     0           0.000497215

 Resistor: Simple linear resistor
     device                  r251                  r241                  r232
      model                     R                     R                     R
 resistance                   100                   100                   100
          i            0.00223726            0.00223941            0.00224968
          p           0.000500533           0.000501495           0.000506107

 Resistor: Simple linear resistor
     device                  r224                  r217                  r211
      model                     R                     R                     R
 resistance                   100                   100                   100
          i            0.00225704            0.00227078            0.00511886
